Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.90132291,4.696817825,4.958901404,4.852287048,7.781090896,12.05361798,11.07437896,12.20183019,8.886660184,,
Africa Western and Central,AFW,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.173050564,2.014968215,4.350118845,7.97676918,10.19053207,10.61123397,11.28508581,25.83606103,23.24050574,,
Albania,ALB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96297974,18.76933916,22.4938973,23.49277786,22.80273406,18.16857405,18.26995219,13.23253338,11.084582,8.368958007,8.113899884
Andorra,AND,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.178127834,5.266988962,6.086295813,7.129651752,6.655645965,5.636720012,5.02708123,5.071833428,5.295286504,5.610436526,6.457487958,8.154957712
Argentina,ARG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.606646772,4.456543481,3.241857854,3.108384744,3.466828307,2.117022874,1.395598406,1.734548721,1.732582431,1.990064383,1.736841818,1.836605544,1.830363712,3.108572249,5.748493054,3.860952775
Armenia,ARM,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.972089483,2.447555686,2.404015724,4.2841892,4.863619002,3.041411299,3.421091513,3.669222171,4.485338923,6.969750428,7.949716684,6.724111251,5.432317779,4.754398251,5.506665829,6.554815729
American Samoa,ASM,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.542535833,8.655527037,7.938070514,6.350929,5.33456,6.25661
Australia,AUS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564453033,0.57401314,0.559225605,1.355262088,2.018064585,2.14856126,1.968386346,1.701891508,1.365174882,1.013844499,0.888725499,0.947676353,0.85701375,0.901855194,0.961493162,1.107782713
Austria,AUT,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.739429392,2.242467316,1.903069428,2.250422587,2.830717152,2.706815505,2.813364766,2.866541695,3.473374315,3.392837284,2.695217415,2.368895442,1.882428564,1.62862136,
Azerbaijan,AZE,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.315235749,7.393107104,8.168285441,9.886951955,10.82291505,17.91669651,21.0565186,14.19008522,,,
Belgium,BEL,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.280164157,1.157063807,1.652164219,3.075436663,2.79861059,3.302301757,3.738254507,4.244977405,4.175692118,3.789351429,3.432033252,2.924793545,2.268265705,2.087069156,2.06995809
Benin,BEN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.849001532,9.728075628,8.641851749,9.365169371,8.397904346,8.858525624,8.895660059,9.887329666,8.902133352,7.737548734
Bulgaria,BGR,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.403906529,6.422933859,11.91770876,14.97361396,16.62632093,16.87852083,16.74652942,14.61205086,13.17306553,10.43445342,7.801561773,6.621299437,5.798352022
Bahrain,BHR,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.21596483,17.90710073,11.01721963,8.385825726,6.073544273,5.276053668,3.998761503,3.018591918,3.091207942,5.871207252,11.42178218,11.79971408,13.46568823,15.11984787,14.16531238,13.70841587,11.77771908,10.04627515,8.77033548,7.411657058,6.122402156
Belarus,BLR,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.548804271,4.159595812,5.501874006,4.447331358,4.371304034,6.834947964,12.79117428,12.85219447,5.010286238,4.627878139,4.82924274
Belize,BLZ,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
